id_delibera;estrattore;format;reference_source;marker_precision;marker_recall;boundary_accuracy;text_fidelity;noise_exclusion;overall_score;issues;notes
ATTO_001;DOCLING;JSON;pdf_text_layer;71;71;90;70;100;80;Marker VISTO_2 incorrectly labeled (should be VISTA) | Compound marker VISTI_PARERI_1 used instead of plain VISTI | VISTO_1 block truncated mid-sentence, omitting remainder of PIAO bullet and final bullet about Delibera consiliare n.6 | Missing text after the truncated point in VISTO_1;Candidate correctly captured Premesso, VISTO, Considerato, Atteso, Ritenuto and Visti blocks and stopped before the votazione/dispositivo as required. However, marker labels are not fully accurate and one block suffers from truncation, affecting text fidelity.
ATTO_001;DOCLING;MARKDOWN;pdf_text_layer;71;71;90;70;100;80;Marker VISTO_2 incorrectly labeled (should be VISTA) | Compound marker VISTI_PARERI_1 used instead of plain VISTI | VISTO_1 block truncated mid-sentence, omitting remainder of PIAO bullet and final bullet about Delibera consiliare n.6 | Missing text after the truncated point in VISTO_1;"Identical content to JSON candidate; same strengths and weaknesses. Correctly delimited sections up to Visti i pareri and excluded successivo dispositivo/votazione."
ATTO_002;DOCLING;JSON;pdf_text_layer;100;82;95;60;95;86;Marker labels in uppercase instead of title case | Extra spaces before commas | Missing accents (e.g., 'TENUTO' vs 'tenuto') | Missing punctuation in some places | Output includes internal reference IDs like '[1] PREMESSO_1:';"All narrative blocks up to 'Acquisiti i pareri' are present but with formatting deviations; boundary correctly stops before votazione."
ATTO_002;DOCLING;MARKDOWN;pdf_text_layer;100;82;95;60;95;86;Marker labels in uppercase instead of title case | Extra spaces before commas | Missing accents (e.g., 'TENUTO' vs 'tenuto') | Missing punctuation in some places | Output includes internal reference IDs like '[1] PREMESSO_1:';"All narrative blocks up to 'Acquisiti i pareri' are present but with formatting deviations; boundary correctly stops before votazione."
ATTO_003;DOCLING;JSON;pdf_text_layer;0;0;0;15;75;15;"Missing standard markers (PREMESSO, VISTO, RITENUTO, etc.) | Only a small fragment of the deliberation is present | Incorrect marker label 'ACQUISITI_PARERI_1' not part of reference | Large portions of text omitted (premises, decisions, votazione, dispositivo) | No proper JSON structure; output is plain text";"The candidate fails to capture the administrative structure, markers, and most of the content; it is not valid JSON and contains only a fragment of the reference."
ATTO_003;DOCLING;MARKDOWN;pdf_text_layer;0;0;0;15;75;15;"Missing standard markers (PREMESSO, VISTO, RITENUTO, etc.) | Only a small fragment of the deliberation is present | Incorrect marker label 'ACQUISITI_PARERI_1' not part of reference | Large portions of text omitted (premises, decisions, votazione, dispositivo) | No proper markdown structure; output is plain text";"The candidate fails to capture the administrative structure, markers, and most of the content; it is not valid markdown and contains only a fragment of the reference."
ATTO_004;DOCLING;JSON;pdf_text_layer;100;100;35;50;80;61;"Block boundaries extend into the following section (e.g., ACQUISITI_PARERI_1 includes text that belongs to the VISTI block) | Repeated header phrases like ""PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR)"" are inserted inside blocks | Final deliberation, attestation and signatures are omitted (expected as noise exclusion but also means the narrative stops before the dispositivo)";"All expected narrative markers (ACQUISITI_PARERI, VISTI, VISTA, DATO_ATTO, PRESO_ATTO, CONSIDERATO, ACQUISITO, VISTO) are present and correctly labeled; core text of each block is faithful to the source."
ATTO_004;DOCLING;MARKDOWN;pdf_text_layer;100;100;35;45;65;69;"Block boundaries extend into the following section (e.g., ACQUISITI_PARERI_1 includes text that belongs to the VISTI block) | Repeated header phrases like ""PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR)"" are inserted inside blocks | Contains HTML comment tags ""<!-- image -->"" that are not present in the reference, adding noise | Final deliberation, attestation and signatures are omitted";"All expected narrative markers are present and correctly labeled; however, the extra markup and boundary overruns reduce fidelity and increase noise."
ATTO_005;DOCLING;JSON;pdf_text_layer;80;71;40;30;95;63;Incorrect marker labels (VISTO_1 instead of VISTI, VISTO_2 instead of VISTA) | Missing markers: RICHIAMATO after VISTA, DELIBERA sections | Incorrect/invented marker ACQUISITI_PARERI_1 | Omitted initial heading 'LA GIUNTA COMUNALE' and first punto di parere | Missing text after VISTO Regolamento (deliberative points, signatures, publication, attestation);The candidate captured the core premesso, richiesto, preso atto, visto and ritenuto blocks but mislabelled VISTI/VISTA and omitted several sections, affecting recall and fidelity.
ATTO_005;DOCLING;MARKDOWN;pdf_text_layer;80;71;40;30;95;63;Incorrect marker labels (VISTO_1 instead of VISTI, VISTO_2 instead of VISTA) | Missing markers: RICHIAMATO after VISTA, DELIBERA sections | Incorrect/invented marker ACQUISITI_PARERI_1 | Omitted initial heading 'LA GIUNTA COMUNALE' and first punto di parere | Missing text after VISTO Regolamento (deliberative points, signatures, publication, attestation);The candidate captured the core premesso, richiesto, preso atto, visto and ritenuto blocks but mislabelled VISTI/VISTA and omitted several sections, affecting recall and fidelity.
