id_delibera;estrattore;format;reference_source;marker_precision;marker_recall;boundary_accuracy;text_fidelity;noise_exclusion;overall_score;issues;notes
ATTO_001;DOCLING;JSON;pdf_text_layer;71;100;90;80;100;85;Marker labels VISTO_2 and VISTI_PARERI_1 do not match the reference (should be VISTA and VISTI). | VISTO_1 block is truncated: missing the continuation of the PIAO bullet and the subsequent bullet about deliberazione consiliare n. 6 del 11.04.2026. | Minor punctuation/spacing differences (e.g., extra spaces around 'stakeholders', uppercase 'ATTESI').;All expected narrative markers are present, but label inaccuracies and incomplete text reduce precision and fidelity.
ATTO_001;DOCLING;MARKDOWN;pdf_text_layer;71;100;90;80;100;85;Marker labels VISTO_2 and VISTI_PARERI_1 do not match the reference (should be VISTA and VISTI). | VISTO_1 block is truncated: missing the continuation of the PIAO bullet and the subsequent bullet about deliberazione consiliare n. 6 del 11.04.2026. | Minor punctuation/spacing differences (e.g., extra spaces around 'stakeholders', uppercase 'ATTESI').;All expected narrative markers are present, but label inaccuracies and incomplete text reduce precision and fidelity.
ATTO_002;DOCLING;JSON;pdf_text_layer;0;0;0;0;0;0;Candidate JSON dataset not provided in the prompt.;Unable to evaluate due to missing candidate data.
ATTO_002;DOCLING;MARKDOWN;pdf_text_layer;0;0;0;0;0;0;Candidate MARKDOWN dataset not provided in the prompt.;Unable to evaluate due to missing candidate data.
ATTO_003;DOCLING;ERRORE;;;;;;;;;HTTP Error 429: Too Many Requests
ATTO_004;DOCLING;JSON;pdf_text_layer;0;100;85;80;90;68;Marker labels incorrect (e.g., VISTO_1 instead of VISTI/VISTA/etc.) | Duplicate header text inserted inside markers (PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR)) | Missing initial heading 'LA GIUNTA COMUNALE' and attendance details before first marker;"All narrative markers retrieved with correct content but label precision low; stopped before votazione/tables/dispositivo; minimal extra noise."
ATTO_004;DOCLING;MARKDOWN;pdf_text_layer;0;100;80;70;75;65;Marker labels incorrect (e.g., VISTO_1 instead of VISTI/VISTA/etc.) | Duplicate header text inserted inside markers (PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR)) | Contains HTML comment <!-- image --> which is not present in reference | Missing initial heading 'LA GIUNTA COMUNALE' and attendance details before first marker;"Similar to JSON but with additional image comment noise; all markers retrieved; stopped before votazione/tables/dispositivo."
ATTO_005;DOCLING;JSON;pdf_text_layer;93;100;30;40;90;71;Extra non-standard marker ACQUISITI_PARERI | Missing DELIBERA section and subsequent clauses (voting, approvazione, pubblicazione, firme) | Truncation of the long article 11 (RICHIAMATO_2) after element o) | Omission of tables, dispositivo, and attestazioni finali;"Captured all standard preamble and Visto blocks correctly; however segmentation stops before the deliberative core and omits significant normative and procedural text."
ATTO_005;DOCLING;MARKDOWN;pdf_text_layer;93;100;30;40;90;71;Extra non-standard marker ACQUISITI_PARERI | Missing DELIBERA section and subsequent clauses (voting, approvazione, pubblicazione, firme) | Truncation of the long article 11 (RICHIAMATO_2) after element o) | Omission of tables, dispositivo, and attestazioni finali;"Identical content to JSON version; same strengths and shortcomings."
ATTO_006;DOCLING;JSON;pdf_text_layer;100;100;95;80;95;92;Capitalization and spacing deviations in marker text (e.g., PREDISPOSTO, ATTO, extra spaces) | Missing final punctuation in some blocks;All required markers (PREMESSO, VISTO x2, CONSIDERATO, RITENUTO, ACQUISITI PARERI) are present and correctly labeled. The extraction stops before the votazione section, satisfying boundary requirements. Minor textual alterations affect fidelity.
ATTO_006;DOCLING;MARKDOWN;pdf_text_layer;100;100;95;75;90;85;"HTML entities &lt;&lt; &gt;&gt; used instead of plain << >> | Capitalization and spacing deviations in marker text (e.g., PREDISPOSTO, ATTO, extra spaces) | Missing final punctuation in some blocks";Markdown version captures all markers and respects boundaries but introduces HTML entities for angle brackets and retains the same casing/spacing issues as the JSON version, lowering text fidelity and increasing perceived noise.
